WKT,SERIES,COUNTY,SHEET_MAP,SHEET_NO,EDITION,SURV_RANG,PUB_RANGE,SURV_SORT,PUB_SORT,IMAGE,SHEET,DATES,IMAGETHUMB,IMAGEURL,YEAR
"MULTIPOLYGON (((-3.26720899614519 55.9006045908487,-3.26731981460477 55.9150580574464,-3.22871523747782 55.9151454836698,-3.22861899706368 55.9006916896503,-3.26720899614519 55.9006045908487)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VII.2,007_02,"2","1893","1894","1893","1894","82877856","Edinburghshire, VII.2","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1894",https://deriv.nls.uk/dcn4/8287/82877856.4.jpg,https://maps.nls.uk/view/82877856,"1894"
"MULTIPOLYGON (((-3.22861899706368 55.9006916896503,-3.22871523747782 55.9151454836698,-3.19011139037105 55.9152204437349,-3.19002888227374 55.9007668904947,-3.22861899706368 55.9006916896503)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VII.3,007_03,"2","1893","1894","1893","1894","82877868","Edinburghshire, VII.3","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1894",https://deriv.nls.uk/dcn4/8287/82877868.4.jpg,https://maps.nls.uk/view/82877868,"1894"
"MULTIPOLYGON (((-3.19002888227374 55.9007668904947,-3.19011139037105 55.9152204437349,-3.15150713593274 55.9152836175574,-3.15143860733045 55.9008300830056,-3.19002888227374 55.9007668904947)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VII.4,007_04,"2","1893","1894","1893","1894","82877880","Edinburghshire, VII.4","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1894",https://deriv.nls.uk/dcn4/8287/82877880.4.jpg,https://maps.nls.uk/view/82877880,"1894"
"MULTIPOLYGON (((-3.26709840238464 55.8861510777961,-3.26720899614519 55.9006045908487,-3.22861899706368 55.9006916896503,-3.22852278744926 55.8862381586815,-3.26709840238464 55.8861510777961)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VII.6,007_06,"2","1893","1894","1893","1894","82877904","Edinburghshire, VII.6","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1894",https://deriv.nls.uk/dcn4/8287/82877904.4.jpg,https://maps.nls.uk/view/82877904,"1894"
"MULTIPOLYGON (((-3.22852278744926 55.8862381586815,-3.22861899706368 55.9006916896503,-3.19002888227374 55.9007668904947,-3.18994693828201 55.8863133922505,-3.22852278744926 55.8862381586815)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VII.7,007_07,"2","1893","1894","1893","1894","82877916","Edinburghshire, VII.7","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1894",https://deriv.nls.uk/dcn4/8287/82877916.4.jpg,https://maps.nls.uk/view/82877916,"1894"
"MULTIPOLYGON (((-3.15143860733045 55.9008300830056,-3.15150713593274 55.9152836175574,-3.11290349923602 55.9153346752851,-3.11285022000028 55.9008808036615,-3.15143860733045 55.9008300830056)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VIII.1,008_01,"2","1893","1894","1893","1894","82878012","Edinburghshire, VIII.1","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1894",https://deriv.nls.uk/dcn4/8287/82878012.4.jpg,https://maps.nls.uk/view/82878012,"1894"
"MULTIPOLYGON (((-3.11285022000028 55.9008808036615,-3.11290349923602 55.9153346752851,-3.07430013128504 55.9153736766447,-3.07426109646886 55.9009197340141,-3.11285022000028 55.9008808036615)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,VIII.2,008_02,"2","1893","1894","1893","1894","82878024","Edinburghshire, VIII.2","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1894",https://deriv.nls.uk/dcn4/8287/82878024.4.jpg,https://maps.nls.uk/view/82878024,"1894"
"MULTIPOLYGON (((-3.30642573363329 55.9727716885678,-3.30655173416755 55.9872254674455,-3.26787610095217 55.9873249235033,-3.26776460133542 55.9728714680419,-3.30642573363329 55.9727716885678)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,I.13,001_13,"2","1893","1895","1893","1895","82877178","Edinburghshire, I.13","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1895",https://deriv.nls.uk/dcn4/8287/82877178.4.jpg,https://maps.nls.uk/view/82877178,"1895"
"MULTIPOLYGON (((-3.26776460133542 55.9728714680419,-3.26787610095217 55.9873249235033,-3.22919969773773 55.9874125100071,-3.22910288839222 55.9729593022618,-3.26776460133542 55.9728714680419)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,I.14,001_14,"2",1893 to 1894,"1895","1893","1895","87212838","Edinburghshire, I.14","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893 to 1894<br>Published: 1895",https://deriv.nls.uk/dcn4/8721/87212838.4.jpg,https://maps.nls.uk/view/87212838,"1895"
"MULTIPOLYGON (((-3.30655173416755 55.9872254674455,-3.30642573330618 55.9727716509895,-3.34508687145842 55.9726602825867,-3.34522715244499 55.9871138648791,-3.30655173416755 55.9872254674455)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,IB.16,001B_16,"2","1893","1895","1893","1895","82877217","Edinburghshire, IB.16","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1895",https://deriv.nls.uk/dcn4/8287/82877217.4.jpg,https://maps.nls.uk/view/82877217,"1895"
"MULTIPOLYGON (((-3.38359337731106 55.9580834555153,-3.38374788940603 55.9725369171256,-3.34508687145842 55.9726602825867,-3.34494679426619 55.958206736983,-3.38359337731106 55.9580834555153)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,II.3,002_03,"2","1893","1895","1893","1895","82877226","Edinburghshire, II.3","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1895",https://deriv.nls.uk/dcn4/8287/82877226.4.jpg,https://maps.nls.uk/view/82877226,"1895"
"MULTIPOLYGON (((-3.34494679426619 55.958206736983,-3.34508687145842 55.9726602825867,-3.30642573363329 55.9727716885678,-3.3063000537237 55.9583182844337,-3.34494679426619 55.958206736983)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,II.4,002_04,"2","1893","1895","1893","1895","82877235","Edinburghshire, II.4","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1895",https://deriv.nls.uk/dcn4/8287/82877235.4.jpg,https://maps.nls.uk/view/82877235,"1895"
"MULTIPOLYGON (((-3.38343908131664 55.9436302979762,-3.38359337731106 55.9580834555153,-3.34494679426619 55.958206736983,-3.34480700281884 55.943753602335,-3.38343908131664 55.9436302979762)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,II.7,002_07,"2","1893","1895","1893","1895","82877250","Edinburghshire, II.7","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1895",https://deriv.nls.uk/dcn4/8287/82877250.4.jpg,https://maps.nls.uk/view/82877250,"1895"
"MULTIPOLYGON (((-3.34480700281884 55.943753602335,-3.34494679426619 55.958206736983,-3.3063000537237 55.9583182844337,-3.30617480024286 55.9438651282116,-3.34480700281884 55.943753602335)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,II.8,002_08,"2","1893","1895","1893","1895","82877259","Edinburghshire, II.8","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1895",https://deriv.nls.uk/dcn4/8287/82877259.4.jpg,https://maps.nls.uk/view/82877259,"1895"
"MULTIPOLYGON (((-3.38328492865799 55.9291770425632,-3.38343908131664 55.9436302979762,-3.34480700281884 55.943753602335,-3.34466729607646 55.9293004105191,-3.38328492865799 55.9291770425632)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,II.11,002_11,"2","1893","1895","1893","1895","82877277","Edinburghshire, II.11","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1895",https://deriv.nls.uk/dcn4/8287/82877277.4.jpg,https://maps.nls.uk/view/82877277,"1895"
"MULTIPOLYGON (((-3.34466729607646 55.9293004105191,-3.34480700281884 55.943753602335,-3.30617480024286 55.9438651282116,-3.30604952461011 55.9294119141767,-3.34466729607646 55.9293004105191)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,II.12,002_12,"2","1893","1895","1893","1895","82877286","Edinburghshire, II.12","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1895",https://deriv.nls.uk/dcn4/8287/82877286.4.jpg,https://maps.nls.uk/view/82877286,"1895"
"MULTIPOLYGON (((-3.38313081239833 55.9147236709683,-3.38328492865799 55.9291770425632,-3.34466729607646 55.9293004105191,-3.34452756877978 55.9148471764155,-3.38313081239833 55.9147236709683)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,II.15,002_15,"2","1893","1895","1893","1895","82877307","Edinburghshire, II.15","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1895",https://deriv.nls.uk/dcn4/8287/82877307.4.jpg,https://maps.nls.uk/view/82877307,"1895"
"MULTIPOLYGON (((-3.34452756877978 55.9148471764155,-3.34466729607646 55.9293004105191,-3.30604952461011 55.9294119141767,-3.30592408494716 55.9149586451726,-3.34452756877978 55.9148471764155)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,II.16,002_16,"2","1893","1895","1893","1895","82877316","Edinburghshire, II.16","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1895",https://deriv.nls.uk/dcn4/8287/82877316.4.jpg,https://maps.nls.uk/view/82877316,"1895"
"MULTIPOLYGON (((-3.3063000537237 55.9583182844337,-3.30642573363329 55.9727716885678,-3.26776460133542 55.9728714680419,-3.26765326808326 55.9584184527884,-3.3063000537237 55.9583182844337)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.1,003_01,"2","1893","1895","1893","1895","82877325","Edinburghshire, III.1","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1895",https://deriv.nls.uk/dcn4/8287/82877325.4.jpg,https://maps.nls.uk/view/82877325,"1895"
"MULTIPOLYGON (((-3.26765326808326 55.9584184527884,-3.26776460133542 55.9728714680419,-3.22910288839222 55.9729593022618,-3.2290061655426 55.9585063571934,-3.26765326808326 55.9584184527884)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.2,003_02,"2","1893","1895","1893","1895","82877337","Edinburghshire, III.2","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1895",https://deriv.nls.uk/dcn4/8287/82877337.4.jpg,https://maps.nls.uk/view/82877337,"1895"
"MULTIPOLYGON (((-3.30617480024286 55.9438651282116,-3.3063000537237 55.9583182844337,-3.26765326808326 55.9584184527884,-3.26754221037405 55.9439653669594,-3.30617480024286 55.9438651282116)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.5,003_05,"2","1893","1895","1893","1895","82877373","Edinburghshire, III.5","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1895",https://deriv.nls.uk/dcn4/8287/82877373.4.jpg,https://maps.nls.uk/view/82877373,"1895"
"MULTIPOLYGON (((-3.30604952461011 55.9294119141767,-3.30617480024286 55.9438651282116,-3.26754221037405 55.9439653669594,-3.26743100734723 55.9295117807011,-3.30604952461011 55.9294119141767)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.9,003_09,"2","1893","1895","1893","1895","82877421","Edinburghshire, III.9","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1895",https://deriv.nls.uk/dcn4/8287/82877421.4.jpg,https://maps.nls.uk/view/82877421,"1895"
"MULTIPOLYGON (((-3.30592408494716 55.9149586451726,-3.30604952461011 55.9294119141767,-3.26743100734723 55.9295117807011,-3.26731981460477 55.9150580574464,-3.30592408494716 55.9149586451726)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.13,003_13,"2","1893","1895","1893","1895","82877469","Edinburghshire, III.13","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1895",https://deriv.nls.uk/dcn4/8287/82877469.4.jpg,https://maps.nls.uk/view/82877469,"1895"
"MULTIPOLYGON (((-3.26731981460477 55.9150580574464,-3.26743100734723 55.9295117807011,-3.22881236848374 55.9295996955886,-3.22871523747782 55.9151454836698,-3.26731981460477 55.9150580574464)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.14,003_14,"2","1893","1895","1893","1895","82877484","Edinburghshire, III.14","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1895",https://deriv.nls.uk/dcn4/8287/82877484.4.jpg,https://maps.nls.uk/view/82877484,"1895"
"MULTIPOLYGON (((-3.15157544432111 55.9297371881732,-3.1516437562581 55.9441907651029,-3.11301105457344 55.9442420352515,-3.11295704814269 55.9297884040915,-3.15157544432111 55.9297371881732)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,IV.9,004_09,"2","1893","1895","1893","1895","82877571","Edinburghshire, IV.9","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1895",https://deriv.nls.uk/dcn4/8287/82877571.4.jpg,https://maps.nls.uk/view/82877571,"1895"
"MULTIPOLYGON (((-3.11295704814269 55.9297884040915,-3.11301105457344 55.9442420352515,-3.07437793411876 55.9442811519224,-3.07433920660677 55.9298275507209,-3.11295704814269 55.9297884040915)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,IV.10,004_10,"2","1893","1895","1893","1895","82877583","Edinburghshire, IV.10","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1895",https://deriv.nls.uk/dcn4/8287/82877583.4.jpg,https://maps.nls.uk/view/82877583,"1895"
"MULTIPOLYGON (((-3.15150713593274 55.9152836175574,-3.15157544432111 55.9297371881732,-3.11295704814269 55.9297884040915,-3.11290349923602 55.9153346752851,-3.15150713593274 55.9152836175574)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,IV.13,004_13,"2","1893","1895","1893","1895","82877610","Edinburghshire, IV.13","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1895",https://deriv.nls.uk/dcn4/8287/82877610.4.jpg,https://maps.nls.uk/view/82877610,"1895"
"MULTIPOLYGON (((-3.11290349923602 55.9153346752851,-3.11295704814269 55.9297884040915,-3.07433920660677 55.9298275507209,-3.07430013128504 55.9153736766447,-3.11290349923602 55.9153346752851)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,IV.14,004_14,"2","1893","1895","1893","1895","82877628","Edinburghshire, IV.14","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1895",https://deriv.nls.uk/dcn4/8287/82877628.4.jpg,https://maps.nls.uk/view/82877628,"1895"
"MULTIPOLYGON (((-3.26754221037405 55.9439653669594,-3.26765326808326 55.9584184527884,-3.2290061655426 55.9585063571934,-3.22890948968064 55.9440533622336,-3.26754221037405 55.9439653669594)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.6,003_06,"2",1893 to 1894,"1896","1893","1896","82877385","Edinburghshire, III.6","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893 to 1894<br>Published: 1896",https://deriv.nls.uk/dcn4/8287/82877385.4.jpg,https://maps.nls.uk/view/82877385,"1896"
"MULTIPOLYGON (((-3.22890948968064 55.9440533622336,-3.2290061655426 55.9585063571934,-3.19035893386503 55.9585814449766,-3.19027671339908 55.9441282290557,-3.22890948968064 55.9440533622336)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.7,003_07,"2",1893 to 1894,"1896","1893","1896","82877397","Edinburghshire, III.7","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893 to 1894<br>Published: 1896",https://deriv.nls.uk/dcn4/8287/82877397.4.jpg,https://maps.nls.uk/view/82877397,"1896"
"MULTIPOLYGON (((-3.19027671339908 55.9441282290557,-3.19035893386503 55.9585814449766,-3.15171182605962 55.9586442842086,-3.1516437562581 55.9441907651029,-3.19027671339908 55.9441282290557)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.8,003_08,"2",1893 to 1894,"1896","1893","1896","82877409","Edinburghshire, III.8","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893 to 1894<br>Published: 1896",https://deriv.nls.uk/dcn4/8287/82877409.4.jpg,https://maps.nls.uk/view/82877409,"1896"
"MULTIPOLYGON (((-3.26743100734723 55.9295117807011,-3.26754221037405 55.9439653669594,-3.22890948968064 55.9440533622336,-3.22881236848374 55.9295996955886,-3.26743100734723 55.9295117807011)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.10,003_10,"2","1893","1896","1893","1896","82877433","Edinburghshire, III.10","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1896",https://deriv.nls.uk/dcn4/8287/82877433.4.jpg,https://maps.nls.uk/view/82877433,"1896"
"MULTIPOLYGON (((-3.22881236848374 55.9295996955886,-3.22890948968064 55.9440533622336,-3.19027671339908 55.9441282290557,-3.19019412471971 55.9296743880778,-3.22881236848374 55.9295996955886)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.11,003_11,"2",1893 to 1894,"1896","1893","1896","82877445","Edinburghshire, III.11","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893 to 1894<br>Published: 1896",https://deriv.nls.uk/dcn4/8287/82877445.4.jpg,https://maps.nls.uk/view/82877445,"1896"
"MULTIPOLYGON (((-3.19019412471971 55.9296743880778,-3.19027671339908 55.9441282290557,-3.1516437562581 55.9441907651029,-3.15157544432111 55.9297371881732,-3.19019412471971 55.9296743880778)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.12,003_12,"2",1893 to 1894,"1896","1893","1896","82877457","Edinburghshire, III.12","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893 to 1894<br>Published: 1896",https://deriv.nls.uk/dcn4/8287/82877457.4.jpg,https://maps.nls.uk/view/82877457,"1896"
"MULTIPOLYGON (((-3.22871523747782 55.9151454836698,-3.22881236848374 55.9295996955886,-3.19019412471971 55.9296743880778,-3.19011139037105 55.9152204437349,-3.22871523747782 55.9151454836698)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.15,003_15,"2","1893","1896","1893","1896","82877496","Edinburghshire, III.15","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1896",https://deriv.nls.uk/dcn4/8287/82877496.4.jpg,https://maps.nls.uk/view/82877496,"1896"
"MULTIPOLYGON (((-3.19011139037105 55.9152204437349,-3.19019412471971 55.9296743880778,-3.15157544432111 55.9297371881732,-3.15150713593274 55.9152836175574,-3.19011139037105 55.9152204437349)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,III.16,003_16,"2","1893","1896","1893","1896","82877508","Edinburghshire, III.16","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893<br>Published: 1896",https://deriv.nls.uk/dcn4/8287/82877508.4.jpg,https://maps.nls.uk/view/82877508,"1896"
"MULTIPOLYGON (((-3.1516437562581 55.9441907651029,-3.15171182605962 55.9586442842086,-3.11306427070517 55.9586955337644,-3.11301105457344 55.9442420352515,-3.1516437562581 55.9441907651029)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,IV.5,004_05,"2",1893 to 1894,"1896","1893","1896","82877529","Edinburghshire, IV.5","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893 to 1894<br>Published: 1896",https://deriv.nls.uk/dcn4/8287/82877529.4.jpg,https://maps.nls.uk/view/82877529,"1896"
"MULTIPOLYGON (((-3.11301105457344 55.9442420352515,-3.11306427070517 55.9586955337644,-3.07441626307079 55.9587345923241,-3.07437793411876 55.9442811519224,-3.11301105457344 55.9442420352515)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,IV.6,004_06,"2",1893 to 1894,"1896","1893","1896","82877541","Edinburghshire, IV.6","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1893 to 1894<br>Published: 1896",https://deriv.nls.uk/dcn4/8287/82877541.4.jpg,https://maps.nls.uk/view/82877541,"1896"
"MULTIPOLYGON (((-3.30655173416755 55.9872254674455,-3.30667776234556 56.0016791741077,-3.26798743496867 56.0017784752208,-3.26787610095217 55.9873249235033,-3.30655173416755 55.9872254674455)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,I.9,001_09,"2","1894","1895","1894","1895","82877145","Edinburghshire, I.9","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1894<br>Published: 1895",https://deriv.nls.uk/dcn4/8287/82877145.4.jpg,https://maps.nls.uk/view/82877145,"1895"
"MULTIPOLYGON (((-3.22919969773773 55.9874125100071,-3.22929661400893 56.0018661160787,-3.19060609403051 56.0019417104905,-3.19052348927264 55.9874880363694,-3.22919969773773 55.9874125100071)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,I.11,001_11,"2","1894","1896","1894","1896","82877154","Edinburghshire, I.11","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1894<br>Published: 1896",https://deriv.nls.uk/dcn4/8287/82877154.4.jpg,https://maps.nls.uk/view/82877154,"1896"
"MULTIPOLYGON (((-3.19052348927264 55.9874880363694,-3.19060609403051 56.0019417104905,-3.15191520243747 56.0020051346329,-3.15184722554455 55.9875514223961,-3.19052348927264 55.9874880363694)))",Scotland - 25 Inch 2nd and Later Editions,Edinburghshire,I.12,001_12,"2","1894","1896","1894","1896","82877166","Edinburghshire, I.12","Series: Ordnance Survey, 25 inch to the mile<br>Surveyed: 1894<br>Published: 1896",https://deriv.nls.uk/dcn4/8287/82877166.4.jpg,https://maps.nls.uk/view/82877166,"1896"
